"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 04 14:42:26 UTC 2022","Tue Oct 04 14:42:30 UTC 2022","4652","","Tests on SMS API page","","Tests on SMS API page","Testing the ""Verify API"" button","Testing the ""Verify API"" button",""
"passed","Tue Oct 04 14:42:30 UTC 2022","Tue Oct 04 14:42:34 UTC 2022","3378","","Tests on SMS API page","","Tests on SMS API page","Testing the ""SMS notifications"" button","Testing the ""SMS notifications"" button",""
"passed","Tue Oct 04 14:40:05 UTC 2022","Tue Oct 04 14:40:08 UTC 2022","2989","","Tests on main page","","Tests on main page","Testing the ""Website Terms and Conditions"" button in footer","Testing the ""Website Terms and Conditions"" button in footer",""
"passed","Tue Oct 04 14:42:43 UTC 2022","Tue Oct 04 14:43:47 UTC 2022","63873","","Tests on Voice API page","","Tests on Voice API page","Testing the ""Cloud IVR"" button","Testing the ""Cloud IVR"" button",""
"passed","Tue Oct 04 14:37:39 UTC 2022","Tue Oct 04 14:37:52 UTC 2022","12156","","Tests on Contact us page","","Tests on Contact us page","Testing with valid data of the ""Talk to an expert"" form","Testing with valid data of the ""Talk to an expert"" form",""
"passed","Tue Oct 04 14:37:52 UTC 2022","Tue Oct 04 14:37:55 UTC 2022","3224","","Tests on Contact us page","","Tests on Contact us page","Testing with invalid email of the ""Talk to an expert"" form","Testing with invalid email of the ""Talk to an expert"" form",""
"passed","Tue Oct 04 14:42:37 UTC 2022","Tue Oct 04 14:42:40 UTC 2022","3241","","Tests on SMS API page","","Tests on SMS API page","Testing the ""Two Factor Authentication"" button","Testing the ""Two Factor Authentication"" button",""
"passed","Tue Oct 04 14:43:50 UTC 2022","Tue Oct 04 14:43:53 UTC 2022","2886","","Tests on Voice API page","","Tests on Voice API page","Testing the ""Call Tracking"" button","Testing the ""Call Tracking"" button",""
"passed","Tue Oct 04 14:42:40 UTC 2022","Tue Oct 04 14:42:43 UTC 2022","2825","","Tests on SMS API page","","Tests on SMS API page","Testing the ""SMS Marketing"" button","Testing the ""SMS Marketing"" button",""
"passed","Tue Oct 04 14:43:47 UTC 2022","Tue Oct 04 14:43:50 UTC 2022","3182","","Tests on Voice API page","","Tests on Voice API page","Testing the ""Contact center"" button","Testing the ""Contact center"" button",""
"passed","Tue Oct 04 14:37:58 UTC 2022","Tue Oct 04 14:39:01 UTC 2022","62841","","Tests on elasticSip page","","Tests on elasticSip page","Testing the the ""Make and receive calls in"" selection menu","Testing the the ""Make and receive calls in"" selection menu",""
"passed","Tue Oct 04 14:41:15 UTC 2022","Tue Oct 04 14:41:18 UTC 2022","3308","","Tests on sipTrunks page","","Tests on sipTrunks page","Testing the ""Small Business"" button","Testing the ""Small Business"" button",""
"passed","Tue Oct 04 14:40:08 UTC 2022","Tue Oct 04 14:41:12 UTC 2022","64276","","Tests on sipTrunks page","","Tests on sipTrunks page","Testing the ""UCaaS"" button","Testing the ""UCaaS"" button",""
"passed","Tue Oct 04 14:41:18 UTC 2022","Tue Oct 04 14:41:21 UTC 2022","2891","","Tests on sipTrunks page","","Tests on sipTrunks page","Testing the ""Multi-Cloud"" button","Testing the ""Multi-Cloud"" button",""
"passed","Tue Oct 04 14:43:53 UTC 2022","Tue Oct 04 14:43:56 UTC 2022","2896","","Tests on Voice API page","","Tests on Voice API page","Testing the ""AI & Voice Analytics"" button","Testing the ""AI & Voice Analytics"" button",""
"passed","Tue Oct 04 14:39:01 UTC 2022","Tue Oct 04 14:40:05 UTC 2022","64396","","Tests on main page","","Tests on main page","Testing the ""About us"" button in footer","Testing the ""About us"" button in footer",""
"passed","Tue Oct 04 14:42:34 UTC 2022","Tue Oct 04 14:42:37 UTC 2022","3146","","Tests on SMS API page","","Tests on SMS API page","Testing the ""Text appointment reminders"" button","Testing the ""Text appointment reminders"" button",""
"passed","Tue Oct 04 14:41:12 UTC 2022","Tue Oct 04 14:41:15 UTC 2022","2898","","Tests on sipTrunks page","","Tests on sipTrunks page","Testing the ""Managed Services"" button","Testing the ""Managed Services"" button",""
"passed","Tue Oct 04 14:41:21 UTC 2022","Tue Oct 04 14:42:26 UTC 2022","64320","","Tests on SMS API page","","Tests on SMS API page","Testing the ""Twexit API"" button","Testing the ""Twexit API"" button",""
"passed","Tue Oct 04 14:37:55 UTC 2022","Tue Oct 04 14:37:58 UTC 2022","2954","","Tests on Contact us page","","Tests on Contact us page","Testing with invalid number phone of the ""Talk to an expert"" form","Testing with invalid number phone of the ""Talk to an expert"" form",""
